"","Pathotroph","Saprotroph","Symbiotroph","Bryophyte Parasite","Dung Saprotroph","Ectomycorrhizal","Fungal Parasite","Leaf Saprotroph","Plant Parasite","Wood Saprotroph","Animal Pathogen","Endophyte","Plant Pathogen","Lichen Parasite","Litter Saprotroph","Soil Saprotroph","Plant Saprotroph","Epiphyte","Lichenized","Arbuscular Mycorrhizal","Endomycorrhizal","Ericoid Mycorrhizal","Orchid Mycorrhizal","Root Associated Biotroph","Clavicipitaceous Endophyte","Animal Endosymbiont"
"PB2Mineral.ITS.S433",21.25,41.3,51.35,1.98,3.67,35.62,4.42,1.98,1.98,6.32,0.85,8.7,13.35,0.05,7.53,16.92,1.75,0.12,0.22,0,0.1,4.15,0.48,0.28,0.28,0
"PB2Organic.ITS.S435",16.73,18.27,63.42,0.03,1.77,60.45,3.2,0.78,0.03,6.25,6.12,1.8,7.4,0.12,1.15,8.12,2.85,0.17,0,0,0,1.73,0.35,0,0,0
"PB2Outer.ITS.S437",0.78,0.73,4.58,0,0,0,0,0,0,0,0,0.28,0.38,0.4,0,0,0,0,4.3,0,0,0,0,0,0,0
"PB3Inner.ITS.S439",4.88,44.3,48,0.15,0.15,0.68,0.78,0,0,22.4,0.58,47.15,4,0.1,0.15,0.15,0,0.28,0.03,0,0,0.15,0,0,0.03,0.1
"PB3Mineral.ITS.S441",25.38,28.7,63.8,0.03,2.08,41.48,5.82,0.03,0.03,6.47,0.68,7.2,14.6,0,5.95,7.05,4.03,0.17,0,0,0,5.18,0.03,0.03,0.5,0
"PB3Organic.ITS.S443",9.72,18.42,76.52,0.07,2.08,72.88,3.52,0.07,0.07,7.95,0.42,1.6,3.65,0,1.12,5.47,5.62,0,0,0,0,2.88,0.42,0,0,0
"PB3Outer.ITS.S445",5.22,5.92,2.48,0,0,0,0.6,0,0,0,3.58,1.12,4.62,0.1,0.58,0.58,0,0.4,1,0,0,0,0,0,0,0
"PB4Inner.ITS.S447",1.32,3.9,0.72,0,0,0.7,0,0.07,0,0.55,0,0.03,1.32,0,0,0,0.03,0,0,0,0,0,0,0,0,0
"PB4Mineral.ITS.S449",44.73,38.65,59.58,0,4,38.05,21.95,0,0,8.95,8.2,14.9,11.12,0.05,5.38,8.57,3.8,7.68,0.03,0,0,5.18,0.73,0.68,0.48,0
"PB4Organic.ITS.S451",17.52,23.62,62.95,0.05,2.75,53.58,2.7,0.48,0,9.95,0.62,4.25,9.22,0.03,3.8,1.82,6.1,0.1,0.05,0,0,7.6,2.17,0.12,0.07,0
"PB4Outer.ITS.S453",2.17,0.55,1.45,0,0,0.12,1.32,0,0,0,1.75,1.32,0.85,0,0,0,0,0,0,0,0,0,0,0,1.32,0
"PB5Inner.ITS.S463",8.78,9.28,2.02,0,0.5,1.05,0.73,0,0,1.88,6.32,0.98,7.8,1.05,0,0,0,0,0,0,0,0,0,0,0.32,0
"PB5Mineral.ITS.S465",30.48,25.05,56.4,0,1.35,42.77,6.35,0,0,3.9,0.5,5.9,16.95,0,5.03,9.78,2.48,0.07,0,0,0,7.35,0.12,0.12,0.42,0
"PB5Organic.ITS.S467",25.02,11.82,62.88,0.17,1.05,59.35,0.55,0.03,0,7.12,0.12,0.52,20.22,0.05,0.4,0.55,1.73,0.03,0.03,0,0.03,3.38,0.22,0.1,0,0
"PB5Outer.ITS.S469",7.75,7.07,1.18,0,0,0,0.15,0,0,0.6,6.78,0.75,7.6,0.6,0,0,0,0,0.42,0,0,0,0,0,0.15,0
"PB501Mineral.ITS.S457",27.12,25.6,53.08,0.1,1.62,37.1,4.58,0.1,0.1,6.6,3.88,10.75,16.35,0,6.9,10.22,4.82,0,0,0,0,4.2,0.55,0.55,1.57,0
"PB501Outer.ITS.S461",4.42,1.98,1.65,0,0,0,1.48,0,0,0,3.17,1.57,2.3,0,0,0.07,0,0,0,0,0,0,0,0,1.4,0
"RM1Inner.ITS.S603",14.03,81.12,14.03,0,0.1,0,0,0,0,1,0.9,14.03,14.03,0.88,0,0,0,0,0,0,0,0,0,0,0,0
"RM1Mineral.ITS.S605",6.9,39.75,59.42,1.23,1.48,54.8,4.1,1.23,1.18,9.18,1.65,3.5,1.58,0,1.68,6.25,6.8,0.25,0.22,0,0,2.02,0.52,0.03,1.38,0
"RM1Organic.ITS.S607",6.4,28.2,57.27,0.07,0.38,51.17,10.85,0.12,0,14.55,0.65,3.08,0.6,0.05,2.38,2.55,3.83,0.17,0.05,0,0,5.05,1.1,0,0.35,0
"RM1Outer.ITS.S609",16.6,50.52,22.18,0,0,0.72,0,0,0,4.92,9.68,7.92,13.7,4.92,0,0,0,0.42,13.1,0,0,0,0,0,0,0
"RM10Inner.ITS.S593",8.12,80.72,11.78,0,0.3,0.52,2.15,0,0,74.1,5.08,4.38,6.15,1.4,0,0,0.07,0.52,7.35,0,0,0,0,0,1.48,0.92
"RM10Outer.ITS.S595",17.4,42.88,9.18,0,0.22,0.2,6.53,0,0,2.67,12.55,6.88,10.85,0.42,0.28,0,0,0.48,1.65,0,0,0,0,0,5.45,0
"RM14Inner.ITS.S164",2.2,91.25,12.28,0,0,0,0.82,0,0,89.88,1.4,12.28,1.38,0,10.78,0,0,0,0,0,0,0,0,0,0.82,0
"RM14Mineral.ITS.S599",21.58,34.33,58.62,2.78,5.25,37.48,5.25,2.78,2.78,9.9,0.95,14.82,13.85,0,13.22,15.12,4.1,0.2,0.07,0,0,2.22,0.12,0,0.12,0
