sample_name	sample_title	bioproject_accession	organism	collection_date	env_broad_scale	env_local_scale	env_medium	geo_loc_name	host	lat_lon	air_temp_regm	altitude	ances_data	antibiotic_regm	biol_stat	biotic_regm	chem_administration	chem_mutagen	climate_environment	collection_method	cult_root_med	depth	elev	fertilizer_regm	fungicide_regm	gaseous_environment	genetic_mod	gravity	growth_facil	growth_habit	growth_hormone_regm	herbicide_regm	host_age	host_common_name	host_disease	host_dry_mass	host_genotype	host_height	host_length	host_life_stage	host_phenotype	host_subspecf_genlin	host_symbiont	host_taxid	host_tot_mass	host_wet_mass	humidity_regm	isolation_source	light_regm	mechanical_damage	mineral_nutr_regm	misc_param	neg_cont_type	non_mineral_nutr_regm	omics_observ_id	organism_count	oxy_stat_samp	perturbation	pesticide_regm	ph_regm	plant_growth_med	plant_product	plant_sex	plant_struc	pos_cont_type	radiation_regm	rainfall_regm	rel_to_oxygen	root_cond	root_med_carbon	root_med_macronutr	root_med_micronutr	root_med_ph	root_med_regl	root_med_solid	root_med_suppl	salt_regm	samp_capt_status	samp_collect_device	samp_dis_stage	samp_mat_process	samp_salinity	samp_size	samp_store_dur	samp_store_loc	samp_store_temp	samp_vol_we_dna_ext	season_environment	size_frac	source_material_id	standing_water_regm	temp	tiss_cult_growth_med	water_temp_regm	watering_regm	description	strain	isolate	cultivar	ecotype	isol_growth_condt	biotic_relationship	extrachrom_elements	subspecf_gen_lin	trophic_level
WP2Organic_ITS_S1047_R2_001.fastq.gz.			WP2Organic	2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0001760	USA: Connecticut	Tree_or_neighboring_soil	41.9529 N, 72.1239 W																																																																																								Sample_or_read_1048			NA				
WP2Outer_ITS_S1049_R1_001.fastq.gz.			WP2Outer	2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0001761	USA: Connecticut	Tree_or_neighboring_soil	41.9529 N, 72.1239 W																																																																																								Sample_or_read_1049			NA				
WP2Outer_ITS_S1049_R2_001.fastq.gz.			WP2Outer	2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0001762	USA: Connecticut	Tree_or_neighboring_soil	41.9529 N, 72.1239 W																																																																																								Sample_or_read_1050			NA				
WP3Inner_ITS_S1051_R1_001.fastq.gz.			WP3Inner	2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0001763	USA: Connecticut	Tree_or_neighboring_soil	41.9529 N, 72.1239 W																																																																																								Sample_or_read_1051			NA				
WP3Inner_ITS_S1051_R2_001.fastq.gz.			WP3Inner	2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0001764	USA: Connecticut	Tree_or_neighboring_soil	41.9529 N, 72.1239 W																																																																																								Sample_or_read_1052			NA				
WP3Organic_ITS_S1053_R1_001.fastq.gz.			WP3Organic	2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0001765	USA: Connecticut	Tree_or_neighboring_soil	41.9529 N, 72.1239 W																																																																																								Sample_or_read_1053			NA				
WP3Organic_ITS_S1053_R2_001.fastq.gz.			WP3Organic	2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0001766	USA: Connecticut	Tree_or_neighboring_soil	41.9529 N, 72.1239 W																																																																																								Sample_or_read_1054			NA				
WP3Outer_ITS_S1055_R1_001.fastq.gz.			WP3Outer	2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0001767	USA: Connecticut	Tree_or_neighboring_soil	41.9529 N, 72.1239 W																																																																																								Sample_or_read_1055			NA				
WP3Outer_ITS_S1055_R2_001.fastq.gz.			WP3Outer	2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0001768	USA: Connecticut	Tree_or_neighboring_soil	41.9529 N, 72.1239 W																																																																																								Sample_or_read_1056			NA				
WP401Mineral_ITS_S1057_R1_001.fastq.gz.			WP401Mineral	2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0001769	USA: Connecticut	Tree_or_neighboring_soil	41.9529 N, 72.1239 W																																																																																								Sample_or_read_1057			NA				
WP401Mineral_ITS_S1057_R2_001.fastq.gz.			WP401Mineral	2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0001770	USA: Connecticut	Tree_or_neighboring_soil	41.9529 N, 72.1239 W																																																																																								Sample_or_read_1058			NA				
WP401Organic_ITS_S1059_R1_001.fastq.gz.			WP401Organic	2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0001771	USA: Connecticut	Tree_or_neighboring_soil	41.9529 N, 72.1239 W																																																																																								Sample_or_read_1059			NA				
WP402Inner_ITS_S1061_R1_001.fastq.gz.			WP402Inner	2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0001772	USA: Connecticut	Tree_or_neighboring_soil	41.9529 N, 72.1239 W																																																																																								Sample_or_read_1060			NA				
WP402Inner_ITS_S1061_R2_001.fastq.gz.			WP402Inner	2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0001773	USA: Connecticut	Tree_or_neighboring_soil	41.9529 N, 72.1239 W																																																																																								Sample_or_read_1061			NA				
WP401Organic_ITS_S1059_R2_001.fastq.gz.			WP401Organic	2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0001774	USA: Connecticut	Tree_or_neighboring_soil	41.9529 N, 72.1239 W																																																																																								Sample_or_read_1062			NA				
WP402Mineral_ITS_S1063_R1_001.fastq.gz.			WP402Mineral	2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0001775	USA: Connecticut	Tree_or_neighboring_soil	41.9529 N, 72.1239 W																																																																																								Sample_or_read_1063			NA				
WP402Mineral_ITS_S1063_R2_001.fastq.gz.			WP402Mineral	2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0001776	USA: Connecticut	Tree_or_neighboring_soil	41.9529 N, 72.1239 W																																																																																								Sample_or_read_1064			NA				
